DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-01,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-02,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-03,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-04,2.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-01,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-02,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-03,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-04,3.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-05,3.0,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2025-01,4.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2025-02,4.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2025-03,3.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2025-04,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2025-05,2.8,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,2025-01,3.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,2025-02,3.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,2025-03,4.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,2025-04,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Switzerland,2025-01,0.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Switzerland,2025-02,0.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Switzerland,2025-03,0.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Switzerland,2025-04,0.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Cyprus,2025-01,2.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Cyprus,2025-02,2.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Cyprus,2025-03,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Cyprus,2025-04,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Cyprus,2025-05,0.4,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Czechia,2025-01,2.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Czechia,2025-02,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Czechia,2025-03,2.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Czechia,2025-04,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-01,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-02,2.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-03,2.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-04,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-05,2.1,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Denmark,2025-01,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Denmark,2025-02,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Denmark,2025-03,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Denmark,2025-04,1.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Estonia,2025-01,3.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Estonia,2025-02,5.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Estonia,2025-03,4.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Estonia,2025-04,4.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Estonia,2025-05,4.6,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2025-01,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2025-02,2.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2025-03,2.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2025-04,2.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Greece,2025-01,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Greece,2025-02,3.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Greece,2025-03,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Greece,2025-04,2.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Greece,2025-05,3.3,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-01,2.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-02,2.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-03,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-04,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-05,1.9,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Finland,2025-01,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Finland,2025-02,1.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Finland,2025-03,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Finland,2025-04,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Finland,2025-05,2.1,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-01,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-02,0.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-03,0.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-04,0.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-05,0.6,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Croatia,2025-01,5.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Croatia,2025-02,4.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Croatia,2025-03,4.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Croatia,2025-04,4.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Croatia,2025-05,4.3,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2025-01,5.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2025-02,5.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2025-03,4.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Hungary,2025-04,4.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Ireland,2025-01,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Ireland,2025-02,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Ireland,2025-03,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Ireland,2025-04,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Ireland,2025-05,1.4,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Iceland,2025-01,3.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Iceland,2025-02,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Iceland,2025-03,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Iceland,2025-04,3.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-01,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-02,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-03,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-04,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-05,1.9,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Lithuania,2025-01,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Lithuania,2025-02,3.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Lithuania,2025-03,3.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Lithuania,2025-04,3.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Lithuania,2025-05,3.0,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Luxembourg,2025-01,2.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Luxembourg,2025-02,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Luxembourg,2025-03,1.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Luxembourg,2025-04,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Luxembourg,2025-05,2.1,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Latvia,2025-01,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Latvia,2025-02,3.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Latvia,2025-03,3.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Latvia,2025-04,4.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Latvia,2025-05,3.7,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Montenegro,2025-01,3.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Montenegro,2025-02,3.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Montenegro,2025-03,3.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Montenegro,2025-04,3.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,North Macedonia,2025-01,5.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,North Macedonia,2025-02,6.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,North Macedonia,2025-03,3.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,North Macedonia,2025-04,3.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Malta,2025-01,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Malta,2025-02,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Malta,2025-03,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Malta,2025-04,2.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Malta,2025-05,2.6,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-01,3.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-02,3.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-03,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-04,4.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-05,3.0,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Norway,2025-01,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Norway,2025-02,3.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Norway,2025-03,2.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Norway,2025-04,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Poland,2025-01,4.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Poland,2025-02,4.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Poland,2025-03,4.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Poland,2025-04,3.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Portugal,2025-01,2.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Portugal,2025-02,2.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Portugal,2025-03,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Portugal,2025-04,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Portugal,2025-05,1.7,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Romania,2025-01,5.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Romania,2025-02,5.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Romania,2025-03,5.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Romania,2025-04,4.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Serbia,2025-01,4.9,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Serbia,2025-02,4.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Serbia,2025-03,4.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Serbia,2025-04,4.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Sweden,2025-01,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Sweden,2025-02,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Sweden,2025-03,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Sweden,2025-04,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovenia,2025-01,2.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovenia,2025-02,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovenia,2025-03,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovenia,2025-04,2.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovenia,2025-05,1.9,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovakia,2025-01,4.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovakia,2025-02,4.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovakia,2025-03,4.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovakia,2025-04,3.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Slovakia,2025-05,4.3,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,T端rkiye,2025-01,42.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,T端rkiye,2025-02,39.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,T端rkiye,2025-03,38.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,T端rkiye,2025-04,37.9,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Kosovo*,2025-01,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Kosovo*,2025-02,1.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Kosovo*,2025-03,2.9,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Kosovo*,2025-04,3.0,d,
